zipcode,Classification,City,Population,Timezone,Area Code(s)
98001,General,Auburn,31911,Pacific,253
98002,General,Auburn,31647,Pacific,253
98003,General,Federal Way,44151,Pacific,253
98004,General,Bellevue,27946,Pacific,425
98005,General,Bellevue,17714,Pacific,425
98006,General,Bellevue,36364,Pacific,425
98007,General,Bellevue,24889,Pacific,425
98008,General,Bellevue,24411,Pacific,425
98009,P.O. Box,Bellevue,0,Pacific,425
98010,General,Black Diamond,5025,Pacific,360/564
98011,General,Bothell,29212,Pacific,425
98013,P.O. Box,Burton,0,Pacific,206
98014,General,Carnation,6765,Pacific,425
98015,P.O. Box,Bellevue,0,Pacific,425
98019,General,Duvall,10725,Pacific,425
98022,General,Enumclaw,20987,Pacific,360/564
98023,General,Federal Way,47510,Pacific,253
98024,General,Fall City,5650,Pacific,425
98025,P.O. Box,Hobart,0,Pacific,425
98027,General,Issaquah,26141,Pacific,425
98028,General,Kenmore,20419,Pacific,425
98029,General,Issaquah,24348,Pacific,425
98030,General,Kent,33769,Pacific,253
98031,General,Kent,36581,Pacific,253/425
98032,General,Kent,33853,Pacific,253/425
98033,General,Kirkland,34338,Pacific,425/206
98034,General,Kirkland,40407,Pacific,425/206
98035,P.O. Box,Kent,0,Pacific,253/425
98038,General,Maple Valley,31171,Pacific,425
98039,General,Medina,2971,Pacific,425
98040,General,Mercer Island,22699,Pacific,206
98041,P.O. Box,Bothell,0,Pacific,425
98042,General,Kent,43673,Pacific,253/425
98045,General,North Bend,13888,Pacific,425
98047,General,Pacific,6339,Pacific,253
98050,P.O. Box,Preston,322,Pacific,425
98051,General,Ravensdale,3270,Pacific,360/564
98052,General,Redmond,58442,Pacific,206/425
98053,General,Redmond,18784,Pacific,425/206
98055,General,Renton,21904,Pacific,425
98056,General,Renton,32489,Pacific,425
98057,General,Renton,10613,Pacific,425
98058,General,Renton,41938,Pacific,425
98059,General,Renton,34463,Pacific,425
98062,P.O. Box,Seahurst,0,Pacific,206/253
98063,P.O. Box,Federal Way,0,Pacific,253
98064,P.O. Box,Kent,0,Pacific,253/425
98065,General,Snoqualmie,12699,Pacific,425
98070,General,Vashon,10624,Pacific,206
98071,P.O. Box,Auburn,0,Pacific,253
98072,General,Woodinville,22312,Pacific,425
98073,P.O. Box,Redmond,0,Pacific,206/425
98074,General,Sammamish,25748,Pacific,425/206
98075,General,Sammamish,20715,Pacific,425
98077,General,Woodinville,13585,Pacific,425
98083,P.O. Box,Kirkland,0,Pacific,425/206
98089,P.O. Box,Kent,0,Pacific,253/425
98092,General,Auburn,39816,Pacific,253
98093,P.O. Box,Federal Way,0,Pacific,253
98101,General,Seattle,10238,Pacific,206/425/360/253/564
98102,General,Seattle,20756,Pacific,206/425/360/564
98103,General,Seattle,45911,Pacific,206
98104,General,Seattle,13095,Pacific,206/425/360/253/564
98105,General,Seattle,43924,Pacific,206
98106,General,Seattle,22873,Pacific,206
98107,General,Seattle,21147,Pacific,206
98108,General,Seattle,22374,Pacific,206
98109,General,Seattle,20715,Pacific,206/425
98111,P.O. Box,Seattle,0,Pacific,206/425
98112,General,Seattle,21077,Pacific,206
98113,P.O. Box,Seattle,0,Pacific,206/425/360/253/564
98114,P.O. Box,Seattle,0,Pacific,206/425
98115,General,Seattle,46206,Pacific,206
98116,General,Seattle,22241,Pacific,206
98117,General,Seattle,31365,Pacific,206
98118,General,Seattle,42731,Pacific,206
98119,General,Seattle,21039,Pacific,206
98121,General,Seattle,12628,Pacific,206/425/360/564
98122,General,Seattle,31454,Pacific,206
98124,P.O. Box,Seattle,0,Pacific,206/425
98125,General,Seattle,37081,Pacific,206
98126,General,Seattle,20698,Pacific,206
98127,P.O. Box,Seattle,0,Pacific,206/425/360/253/564
98129,Unique,Seattle,0,Pacific,206/425
98131,General,Seattle,0,Pacific,206
98133,General,Seattle,44555,Pacific,206
98134,General,Seattle,644,Pacific,206
98136,General,Seattle,14770,Pacific,206
98138,P.O. Box,Seattle,0,Pacific,206/425
98139,P.O. Box,Seattle,0,Pacific,206/425/360/253/564
98141,P.O. Box,Seattle,0,Pacific,206/425/360/253/564
98144,General,Seattle,26881,Pacific,206
98145,P.O. Box,Seattle,0,Pacific,206/425
98146,General,Seattle,25922,Pacific,206/253
98148,General,Seattle,10010,Pacific,253/206
98154,General,Seattle,0,Pacific,206/425/360/253/564
98155,General,Seattle,32778,Pacific,206
98158,General,Seattle,0,Pacific,206
98160,P.O. Box,Seattle,0,Pacific,206/425
98161,General,Seattle,0,Pacific,206/425
98164,General,Seattle,141,Pacific,206/425
98165,P.O. Box,Seattle,0,Pacific,206/425/360/253/564
98166,General,Seattle,20301,Pacific,206/253
98168,General,Seattle,33734,Pacific,206/425/253
98170,Unique,Seattle,0,Pacific,206/425
98174,General,Seattle,0,Pacific,206/425
98175,P.O. Box,Seattle,0,Pacific,206/425/360/253/564
98177,General,Seattle,19030,Pacific,206/425
98178,General,Seattle,24092,Pacific,425/206/253
98181,Unique,Seattle,0,Pacific,206/425
98185,Unique,Seattle,0,Pacific,206/425
98188,General,Seattle,23111,Pacific,425/206/253
98190,Unique,Seattle,0,Pacific,206/425
98191,Unique,Seattle,0,Pacific,206/425
98194,P.O. Box,Seattle,0,Pacific,206/425/360/253/564
98195,Unique,Seattle,0,Pacific,206
98198,General,Seattle,34584,Pacific,206/253
98199,General,Seattle,19686,Pacific,206
98224,P.O. Box,Baring,294,Pacific,425
98288,P.O. Box,Skykomish,333,Pacific,425
